SubjectId,Name,ParentId,Level
3,Maths,NULL,0
32,Number,3,1
33,BIDMAS,144,3
34,Upper and Lower Bounds,141,3
35,Calculator Use,32,2
36,Decimals,32,2
37,"Factors, Multiples and Primes",32,2
38,"Fractions, Decimals and Percentage Equivalence",32,2
39,Fractions,32,2
40,"Indices, Powers and Roots",32,2
41,Basic Money,331,3
42,Negative Numbers,32,2
44,Percentages,32,2
45,Proportion,32,2
46,Ratio,32,2
47,Standard Form,40,3
48,Surds,32,2
49,Algebra,3,1
50,Expanding Single Brackets,152,3
51,Expanding Double Brackets,152,3
52,Factorising into a Single Bracket,153,3
53,Factorising into a Double Bracket,153,3
54,Straight Line Graphs,49,2
55,Quadratic Graphs,49,2
56,Graphs of Trigonometric Functions,158,3
57,Cubics and Reciprocals,158,3
58,Real Life Graphs,158,3
59,Inequalities,49,2
60,Rearranging Formula and Equations,156,3
61,Sequences,49,2
62,Writing and Simplifying Expressions,49,2
63,Simultaneous Equations,154,3
64,Linear Equations,154,3
65,Quadratic Equations,154,3
66,Solving Other Powers of x,154,3
67,Substitution into Formula,156,3
68,Transformation of Functions,49,2
69,Trial and Improvement and Iterative Methods,154,3
70,Writing Expressions,62,3
71,Geometry and Measure,3,1
72,3D Pythagoras,271,3
73,"Types, Naming and Estimating",74,3
74,Angles,71,2
75,Area of Simple Shapes,178,3
76,Bearings,74,3
77,Circles,71,2
78,Circle Theorems,74,3
79,Compound Measures,71,2
80,Congruency in Triangles,272,3
81,Co-ordinates,49,2
83,"Construction, Loci and Scale Drawing",71,2
84,Properties of Polygons,174,3
85,Nets,176,3
86,Perimeter,178,3
87,Plans and Elevations,176,3
88,Properties of Quadrilaterals,174,3
89,2D Pythagoras,271,3
90,Length Scale Factors in Similar Shapes,272,3
91,Symmetry,71,2
92,Reflection,278,3
93,Rotation,278,3
94,Enlargement,278,3
95,Translation and Vectors,278,3
96,Combined Transformations,278,3
97,Basic Trigonometry,71,2
98,Units of Measurement,71,2
99,Basic Vectors,71,2
100,Volume and Surface Area,71,2
101,Data and Statistics,3,1
102,"Averages (mean, median, mode) from a List of Data",338,3
103,Averages and Range from Grouped Data,338,3
104,Box Plots,342,3
105,Cumulative Frequency Diagram,342,3
106,Block Graphs and Bar Charts,342,3
107,Histogram,342,3
108,Pictogram,342,3
109,Pie Chart,342,3
110,Experimental Probability and Relative Frequency,348,3
111,Probability of Single Events,348,3
112,Tree Diagrams with Dependent Events,348,3
113,Data Collection,101,2
114,Sampling and Bias,338,3
115,Scatter Diagram,342,3
116,Stem and Leaf Diagram,342,3
117,Time Series and Line Graphs,342,3
118,Two Way Tables,342,3
119,Advanced Pure,3,1
120,Factor Theorem,142,3
126,Differentiation,119,2
128,Exponentials and Logarithms,119,2
129,Integration,119,2
130,Matrices,119,2
131,Modulus Function,146,3
137,Sequences and Series,119,2
139,Advanced Trigonometry,119,2
140,Advanced Vectors,119,2
141,Rounding and Estimating,32,2
142,Advanced Algebra,119,2
144,Basic Arithmetic,32,2
146,Functions,119,2
149,Advanced Mechanics,3,1
151,Advanced Statistics,3,1
152,Expanding Brackets,49,2
153,Factorising,49,2
154,Solving Equations,49,2
156,Formula,49,2
157,Writing Formula,156,3
158,Other Graphs,49,2
159,Equation of a Circle,158,3
160,Graphs of Exponentials and Other Powers of x,158,3
163,Transformations of functions in the form y =,68,3
164,Transformations of functions in the form f(x),68,3
165,Inequalities on Number Lines,59,3
166,Solving Linear Inequalities,59,3
167,Graphing Linear Inequalities (Shading Regions),59,3
168,Solving Quadratic Inequalities,59,3
171,Linear Sequences (nth term),61,3
172,Quadratic Sequences,61,3
173,Other Sequences,61,3
174,2D Names and Properties of Shapes,71,2
175,Properties of Triangles,174,3
176,3D Shapes,71,2
177,Names and Properties of 3D Shapes,176,3
178,Perimeter and Area,71,2
179,Compound Area,178,3
180,Measuring Angles,74,3
181,"Basic Angle Facts (straight line, opposite, around a point, etc)",74,3
182,Angle Facts with Parallel Lines,74,3
183,Angles in Polygons,74,3
184,Parts of a Circle,77,3
185,Circumference,77,3
186,Area of a Circle,77,3
187,Sectors of a Circle,77,3
188,Surface Area of Prisms,100,3
189,Volume of Prisms,100,3
190,Construct Angle,83,3
191,Construct Triangle,83,3
192,Construct Angle and Line Bisectors,83,3
193,Loci Scenarios,83,3
195,Length Units,98,3
196,Area Units,98,3
197,Volume and Capacity Units,98,3
198,Weight Units,98,3
199,Temperature units,98,3
200,Counting,144,3
202,Place Value,144,3
203,Mental Addition and Subtraction,144,3
204,Mental Multiplication and Division,144,3
205,Written Addition,144,3
206,Written Subtraction,144,3
207,Written Multiplication,144,3
208,Written Division,144,3
209,Time,98,3
210,Ordering Negative Numbers,42,3
211,Adding and Subtracting Negative Numbers,42,3
212,Multiplying and Dividing Negative Numbers,42,3
213,"Rounding to the Nearest Whole (10, 100, etc)",141,3
