UserId,Gender,DateOfBirth,PremiumPupil
3837,2,2007-10-01 00:00:00.000,0.0
207,0,,
3581,2,2008-03-01 00:00:00.000,0.0
6028,2,2008-01-01 00:00:00.000,0.0
1451,0,,
6062,2,2008-01-01 00:00:00.000,
4333,0,,
2881,1,2007-10-01 00:00:00.000,0.0
3376,2,2008-02-01 00:00:00.000,0.0
4461,0,,
1360,0,,
2148,2,,
2480,0,2007-12-01 00:00:00.000,
252,0,,
5130,2,2008-01-01 00:00:00.000,
279,2,2008-06-01 00:00:00.000,0.0
3140,1,2007-10-01 00:00:00.000,0.0
4537,0,,
1584,1,,
5698,2,2008-02-01 00:00:00.000,0.0
3230,2,,
1266,2,2007-12-01 00:00:00.000,
5984,2,2008-06-01 00:00:00.000,0.0
5585,1,2008-01-01 00:00:00.000,
6030,0,,
3680,2,2008-08-01 00:00:00.000,1.0
2825,1,2007-11-01 00:00:00.000,0.0
4398,2,,
2541,2,,
1293,2,2008-04-01 00:00:00.000,1.0
2411,1,2007-09-01 00:00:00.000,1.0
2395,2,2008-07-01 00:00:00.000,1.0
4898,0,,
4219,0,,
5852,0,,
4192,0,,
3239,2,2008-01-01 00:00:00.000,0.0
992,0,,
1816,2,,
4715,0,,
3241,1,2008-06-01 00:00:00.000,1.0
1796,1,2008-02-01 00:00:00.000,0.0
5523,0,,
1292,2,2007-10-01 00:00:00.000,0.0
4618,2,2007-10-01 00:00:00.000,0.0
4388,2,2008-06-01 00:00:00.000,0.0
3,1,2008-05-01 00:00:00.000,0.0
709,0,,
1386,2,2007-11-01 00:00:00.000,0.0
906,1,,
2075,0,,
5388,0,,
1064,0,,
3629,2,,
2335,1,2008-06-01 00:00:00.000,0.0
1506,0,,
267,0,,
5843,2,,
3663,1,2007-11-01 00:00:00.000,1.0
1777,1,2007-12-01 00:00:00.000,0.0
170,1,2008-05-01 00:00:00.000,0.0
6037,1,,
2836,1,2008-08-01 00:00:00.000,1.0
2080,2,2007-09-01 00:00:00.000,0.0
2975,1,2007-12-01 00:00:00.000,1.0
5462,0,,
1141,0,,
4865,2,,
5797,0,,
3371,2,2008-04-01 00:00:00.000,1.0
1214,2,2007-09-01 00:00:00.000,0.0
2388,1,2008-01-01 00:00:00.000,0.0
2503,0,,
